 , Naive Composition,,, Advanced Composition,,, zCDP,,, RDP,,
Epsilon, Loss,1%,5%, Loss,1%,5%, Loss,1%,5%, Loss,1%,5%
0.1,0.95,0,0,0.95,0,0,0.94,0,0,0.93,0,0
0.5,0.94,0,0,0.94,0,0,0.93,0,0,0.93,0,90
1,0.94,0,0,0.94,0,0,0.92,0,6,0.91,0,94
5,0.94,0,0,0.93,0,0,0.83,0,16,0.83,0,45
10,0.94,0,0,0.87,0,1,0.81,0,20,0.80,0,109
50,0.95,0,0,0.73,0,12,0.64,0,87,0.64,0,70
100,0.93,0,0,0.61,1,32,0.49,30,281,0.48,11,202
500,0.93,0,2,0.06,26,331,0.00,54,399,0.00,40,379
1000,0.59,0,11,0.06,13,359,0.00,28,416,0.07,22,383
Non-Private,0.00,155,2667,0.00,155,2667,0.00,155,2667,0.00,155,2667
